year,num_tickets,box_office,box_office_inflation,ticket_price
2021,434117537.00,4514823897.00,4571257671.00,10.40
2020,214609905.00,2019481070.00,2259842308.00,9.41
2019,1225303701.00,11223784499.00,12902447974.00,9.16
2018,1311402913.00,11946883074.00,13809072681.00,9.11
2017,1225632175.00,10993923429.00,12905906812.00,8.97
2016,1302563736.00,11267179577.00,13715996136.00,8.65
2015,1323277802.00,11155234880.00,13934115248.00,8.43
2014,1257281692.00,10271994581.00,13239176240.00,8.17
2013,1339167627.00,10887435784.00,14101435127.00,8.13
2012,1382264605.00,11002829236.00,14555246292.00,7.96
2011,1282920375.00,10173560995.00,13509151555.00,7.93
2010,1328787539.00,10484135922.00,13992132779.00,7.89
2009,1418567388.00,10639257284.00,14937466933.00,7.50
2008,1358070498.00,9750948245.00,14300482331.00,7.18
2007,1420070454.00,9770087282.00,14953341873.00,6.88
2006,1401392669.00,9179124447.00,14756664813.00,6.55
2005,1372980280.00,8800805718.00,14457482349.00,6.41
2004,1495066169.00,9284362879.00,15743046761.00,6.21
2003,1524589620.00,9193277289.00,16053928694.00,6.03
