Unnamed: 0,zip,naics,est,lat,lng
5822,1035,512131,1,42.35563,-72.5692
8943,1060,512131,1,42.32218,-72.63126
13695,1089,512131,1,42.12532,-72.65025
15967,1104,512131,1,42.13326,-72.56733
19122,1129,512131,1,42.1211,-72.4877
21982,1230,512131,1,42.18197,-73.34244
22654,1237,512131,1,42.5529,-73.25373
25553,1267,512131,2,42.66593,-73.24209
26118,1301,512131,1,42.62375,-72.60379
28544,1366,512131,1,42.48858,-72.18564
30162,1420,512131,1,42.58559,-71.81693
31964,1440,512131,1,42.58797,-71.98649
33510,1453,512131,1,42.51961,-71.76583
38748,1510,512131,1,42.4119,-71.68883
40706,1524,512132,1,42.24919,-71.91989
41227,1527,512131,3,42.19228,-71.77397
46504,1566,512131,1,42.1047,-72.07745
48630,1581,512131,1,42.26815,-71.61402
49269,1583,512131,1,42.37034,-71.78502
52976,1606,512131,1,42.31367,-71.79614
54743,1610,512131,1,42.24645,-71.80968
55814,1701,512131,2,42.32195,-71.43796
58221,1721,512132,1,42.25726,-71.46867
62885,1752,512131,1,42.3494,-71.54681
63846,1756,512132,1,42.09301,-71.55146
64341,1757,512131,1,42.15723,-71.51978
68426,1801,512131,1,42.48694,-71.15415
69313,1803,512131,1,42.5028,-71.20147
75986,1843,512131,1,42.68985,-71.16095
76624,1844,512131,2,42.73426,-71.18858
79165,1853,512131,1,,
82756,1879,512131,1,42.66626,-71.42911
89513,1915,512131,2,42.56841,-70.8647
90818,1923,512131,2,42.57398,-70.94923
91882,1930,512131,1,42.62605,-70.68966
95936,1952,512131,2,42.84655,-70.86163
100101,2019,512131,1,42.0777,-71.47407
101945,2026,512131,3,42.24665,-71.1777
103244,2035,512131,1,42.06266,-71.24613
104770,2043,512131,2,42.21678,-70.88494
109395,2062,512131,2,42.18563,-71.19464
110482,2067,512131,1,42.10778,-71.18183
115298,2111,512131,1,42.35067,-71.06054
116568,2115,512131,1,42.34046,-71.09481
117122,2116,512131,1,42.35105,-71.07638
126437,2138,512131,3,42.37997,-71.13446
127098,2139,512131,1,42.36224,-71.10253
129818,2144,512131,1,42.40088,-71.122
132901,2151,512131,1,42.41887,-71.004
137643,2184,512131,1,42.20386,-71.0022
141498,2215,512131,1,42.34741,-71.10276
145666,2333,512131,1,42.03521,-70.94235
146543,2339,512131,1,42.12241,-70.85665
151543,2364,512131,1,41.98616,-70.74823
152345,2368,512131,1,42.17506,-71.05011
156453,2446,512131,1,42.3435,-71.12179
158453,2453,512131,1,42.36918,-71.24101
161693,2465,512131,3,42.34969,-71.22646
162531,2467,512131,1,42.31725,-71.16096
164040,2474,512131,1,42.42053,-71.15666
168601,2535,512131,1,41.34896,-70.74629
169844,2539,512131,2,41.37994,-70.53227
171232,2554,512131,1,41.28555,-70.08043
171661,2556,512131,1,41.63903,-70.62521
171953,2557,512131,1,41.44218,-70.56648
173610,2568,512131,1,41.44341,-70.61534
174131,2571,512131,1,41.76184,-70.70138
175396,2601,512131,1,41.66,-70.29327
177388,2638,512131,1,41.73225,-70.19459
179494,2649,512131,1,41.61778,-70.49077
181202,2657,512131,2,42.06139,-70.19813
181714,2660,512131,1,41.70828,-70.15517
182776,2667,512131,1,41.92937,-70.02074
191856,2745,512131,2,41.70284,-70.94695
192900,2747,512131,1,41.6577,-71.01202
193874,2760,512131,1,41.97004,-71.33586
197237,2771,512131,2,41.83787,-71.31736
197763,2777,512131,1,41.75699,-71.21208
198664,2780,512131,1,41.90743,-71.11939
200459,2807,512131,1,41.17762,-71.57854
206326,2840,512131,2,41.47838,-71.31993
207127,2842,512131,1,41.51739,-71.27667
211000,2864,512131,1,41.97025,-71.41978
211665,2865,512131,1,41.91251,-71.44822
213635,2879,512131,1,41.42865,-71.53837
215800,2886,512131,2,41.70493,-71.45892
220799,2903,512131,2,41.81902,-71.41003
222760,2906,512131,1,41.83964,-71.38963
227366,2916,512131,1,41.84438,-71.35258
232281,3038,512131,1,42.88867,-71.27932
232799,3042,512131,1,43.05009,-71.07467
235571,3053,512131,1,42.87927,-71.38702
236300,3054,512131,1,42.85471,-71.51878
236911,3055,512132,1,42.81783,-71.67361
241340,3079,512131,1,42.79023,-71.22024
245685,3106,512131,2,43.07097,-71.43651
251708,3247,512132,1,,
252005,3249,512131,1,43.55806,-71.38505
252298,3251,512131,1,44.0796,-71.65276
252649,3253,512131,1,43.63193,-71.49749
257520,3301,512131,2,43.22423,-71.54342
259459,3431,512131,1,42.96785,-72.29862
263168,3470,512132,1,42.77869,-72.34413
263553,3561,512131,1,44.33222,-71.80973
265658,3584,512131,1,44.48696,-71.54278
267949,3743,512131,1,43.36026,-72.32489
269031,3755,512131,1,43.72377,-72.19563
269637,3766,512131,1,43.63491,-72.23819
272455,3801,512131,1,43.07293,-70.8052
274535,3818,512131,1,43.97302,-71.25261
276301,3825,512131,1,43.21366,-71.04227
281857,3860,512131,1,44.0427,-71.12422
288930,3907,512131,1,43.25474,-70.611
289962,4001,512131,1,43.52991,-70.92078
290810,4005,512131,1,43.49591,-70.49537
291486,4009,512131,1,44.04791,-70.73632
291487,4009,512132,1,44.04791,-70.73632
292048,4011,512131,2,43.90068,-69.97607
298245,4062,512131,1,43.79798,-70.40547
299894,4072,512131,1,43.53898,-70.46236
303441,4090,512131,1,43.32669,-70.63356
304078,4092,512131,1,43.69542,-70.35389
305976,4101,512131,2,43.6624,-70.2586
307517,4103,512131,1,43.69392,-70.2909
307518,4103,512132,1,43.69392,-70.2909
308351,4105,512131,1,43.74753,-70.2825
309032,4106,512131,1,43.63081,-70.28972
310625,4210,512131,1,44.08505,-70.24923
311353,4217,512131,1,44.36726,-70.83364
313080,4240,512131,1,44.09147,-70.16808
315965,4270,512131,1,44.11241,-70.51559
318494,4330,512131,1,44.36387,-69.73729
322450,4401,512131,1,44.84711,-68.84654
328744,4473,512131,1,44.88594,-68.71888
330784,4538,512131,1,43.85632,-69.62807
334269,4605,512131,1,44.66038,-68.41623
334920,4609,512131,1,44.38518,-68.27108
335885,4619,512131,1,45.13397,-67.22401
338098,4658,512131,1,44.53873,-67.87257
342454,4756,512132,1,47.33054,-68.30176
343567,4769,512131,1,46.68676,-67.98737
344793,4841,512131,2,44.12739,-69.13686
347075,4861,512131,1,44.09302,-69.17483
348208,4901,512131,3,44.55449,-69.57037
349102,4915,512131,1,44.46643,-69.04156
351256,4938,512131,1,44.65881,-70.10329
354436,4970,512131,1,45.00032,-70.63519
355211,4976,512132,1,44.79873,-69.66951
359610,5060,512131,1,43.96199,-72.68594
363884,5156,512131,2,43.30719,-72.46928
364731,5201,512131,1,42.87652,-73.1426
366065,5255,512131,1,43.16696,-73.06685
369941,5401,512131,2,44.47484,-73.21758
370900,5403,512131,2,44.447,-73.17229
373182,5446,512132,1,44.5541,-73.21647
374230,5452,512131,1,44.5238,-73.06479
377795,5478,512131,1,44.7941,-73.11714
377796,5478,512132,1,44.7941,-73.11714
380292,5495,512131,1,44.42901,-73.09197
381063,5602,512131,2,44.2848,-72.61498
381813,5641,512131,1,44.18602,-72.45108
383580,5661,512131,1,44.53743,-72.61724
384629,5672,512131,2,44.48151,-72.72174
385050,5673,512131,1,44.19371,-72.84356
386832,5701,512131,1,43.63365,-72.91368
389433,5753,512131,1,43.9991,-73.17403
392340,5819,512131,1,44.40397,-71.98837
395425,5855,512131,1,44.92829,-72.1943
397705,6002,512131,1,41.84286,-72.73714
399360,6016,512131,1,41.90417,-72.54438
403794,6037,512131,1,41.61148,-72.7775
404705,6040,512131,1,41.7616,-72.52247
405349,6042,512131,1,41.79743,-72.52704
408227,6062,512131,1,41.67338,-72.86079
408618,6063,512131,1,41.93053,-72.97096
410705,6070,512131,1,41.87674,-72.81626
413702,6082,512131,1,41.98393,-72.55475
417228,6098,512131,1,41.92379,-73.10003
418694,6106,512131,2,41.74818,-72.69683
419260,6107,512131,1,41.75375,-72.75966
419976,6108,512131,1,41.78078,-72.62165
427449,6241,512131,1,41.85635,-71.84904
428368,6250,512132,1,41.77434,-72.19669
433555,6340,512131,1,41.35643,-72.04477
434131,6351,512131,2,41.58873,-71.94854
434801,6355,512131,1,41.36857,-71.97426
435265,6357,512131,1,41.32711,-72.21478
438301,6379,512131,1,41.36685,-71.85826
439404,6385,512131,1,41.35735,-72.15581
441038,6405,512131,1,41.28405,-72.79809
443426,6415,512131,1,41.55563,-72.34694
448087,6443,512131,1,41.33976,-72.62783
449084,6450,512131,1,41.53332,-72.77399
450608,6457,512131,2,41.54759,-72.65484
451593,6460,512131,1,41.21505,-73.05129
454841,6473,512131,1,41.38069,-72.85598
458231,6483,512131,1,41.381,-73.08726
460192,6489,512131,1,41.61312,-72.87233
461063,6492,512131,1,41.45927,-72.80473
461667,6498,512131,1,41.30688,-72.46652
461860,6501,512131,1,,
463445,6512,512131,1,41.28111,-72.8719
463977,6513,512131,1,41.31953,-72.86856
468429,6604,512131,1,41.17684,-73.20027
469029,6605,512131,1,41.16348,-73.21763
471184,6611,512131,1,41.26009,-73.20823
472018,6614,512131,1,41.22989,-73.12785
474803,6706,512131,1,41.53285,-73.02389
476803,6750,512131,1,41.72327,-73.2624
479744,6776,512131,1,41.60011,-73.4162
482183,6790,512131,1,41.83747,-73.12874
483350,6795,512131,1,41.61873,-73.12336
484456,6801,512131,1,41.37468,-73.39275
486329,6810,512131,1,41.37627,-73.45904
488095,6820,512131,1,41.07983,-73.48242
490284,6830,512131,1,41.048,-73.624
491531,6840,512131,1,41.15925,-73.49916
492809,6851,512131,2,41.13948,-73.40387
493917,6854,512131,1,41.09148,-73.42972
496492,6880,512131,1,41.14379,-73.34698
498205,6897,512131,2,41.20705,-73.44009
498804,6901,512131,3,41.05349,-73.53845
501864,6907,512131,1,41.1021,-73.52033
503114,7002,512131,1,40.66681,-74.11582
506053,7006,512131,1,40.85221,-74.2817
508940,7012,512131,1,40.84694,-74.1596
510119,7014,512131,1,40.83162,-74.13532
510757,7016,512131,1,40.65678,-74.30354
512220,7020,512131,1,40.82374,-73.97401
516093,7030,512131,1,40.7451,-74.02815
519456,7036,512131,1,40.62526,-74.23917
520864,7040,512131,1,40.73302,-74.27117
521361,7041,512131,1,40.72301,-74.30065
521939,7042,512131,3,40.81382,-74.21775
522505,7043,512131,1,40.84411,-74.20041
525735,7052,512131,1,40.78928,-74.26281
526590,7054,512131,1,40.85527,-74.40239
532386,7068,512131,1,40.82077,-74.30862
537541,7079,512131,1,40.74908,-74.26022
538327,7080,512131,1,40.57483,-74.41542
540149,7083,512131,1,40.69443,-74.2692
542069,7090,512131,1,40.65172,-74.34328
542723,7092,512131,1,40.68106,-74.36038
543341,7093,512131,2,40.78675,-74.00871
544045,7094,512131,1,40.78109,-74.06588
545589,7102,512131,1,40.73576,-74.17343
552011,7201,512131,1,40.67237,-74.17643
553493,7204,512131,1,40.66532,-74.2666
555634,7302,512131,1,40.71894,-74.04462
560259,7405,512131,2,40.98646,-74.38302
569445,7450,512131,1,40.98219,-74.11275
573641,7470,512131,2,40.94805,-74.24504
577185,7505,512131,1,40.91694,-74.17222
577796,7506,512131,1,40.95794,-74.15815
584838,7621,512131,1,40.92357,-73.99824
585357,7624,512131,1,40.97329,-73.96044
593253,7652,512131,1,40.94553,-74.07122
595089,7660,512131,1,40.85434,-74.02013
597798,7670,512131,1,40.91758,-73.95323
598472,7675,512131,1,41.00918,-74.00428
598970,7676,512131,1,40.98843,-74.06359
599779,7701,512131,1,40.36046,-74.07866
601584,7712,512131,1,40.24805,-74.05531
602133,7716,512131,1,40.40237,-74.03533
603570,7720,512131,1,40.20176,-74.01276
604900,7724,512131,1,40.29801,-74.07517
607202,7728,512131,1,40.22522,-74.28447
607895,7730,512131,1,40.42611,-74.17422
612582,7747,512131,1,40.41312,-74.2521
622880,7840,512131,1,40.86034,-74.83192
627608,7866,512131,1,40.9531,-74.48639
628934,7871,512131,1,41.04666,-74.62793
629906,7876,512131,1,40.85302,-74.65627
631477,7901,512131,1,40.71462,-74.36604
633541,7924,512131,1,40.727,-74.58941
634974,7930,512131,1,40.78222,-74.68642
635677,7932,512131,1,40.77717,-74.39246
636829,7936,512131,1,40.81918,-74.36382
637539,7940,512131,1,40.76006,-74.41889
639348,7960,512131,1,40.78452,-74.49813
642319,8002,512131,1,39.93142,-75.02515
644735,8008,512131,1,39.62188,-74.22421
646139,8012,512131,1,39.78409,-75.05586
647379,8016,512131,1,40.06926,-74.83198
654067,8043,512131,1,39.84502,-74.95492
655874,8050,512131,1,39.70291,-74.24576
657302,8053,512131,1,39.86051,-74.89469
659825,8057,512131,1,39.97948,-74.94105
666269,8080,512131,1,39.75714,-75.11801
667294,8083,512131,1,39.84138,-75.02867
672323,8096,512131,2,39.82921,-75.12871
681725,8226,512131,2,39.26812,-74.60196
683268,8234,512131,1,39.38662,-74.62369
684035,8242,512131,1,39.01786,-74.88627
684968,8247,512131,1,39.05279,-74.78508
688731,8330,512131,1,39.4566,-74.73814
691160,8360,512131,1,39.49374,-75.00352
691161,8360,512132,1,39.49374,-75.00352
700099,8540,512131,2,40.36423,-74.65661
702478,8558,512131,1,40.41382,-74.70236
704426,8610,512131,1,40.19377,-74.71565
705964,8619,512131,1,40.2414,-74.69669
712433,8723,512131,1,40.03896,-74.11091
717799,8753,512131,1,39.98091,-74.15055
718653,8755,512131,1,40.00968,-74.22457
721354,8807,512131,1,40.59241,-74.6202
722823,8812,512131,1,40.5999,-74.47979
723525,8816,512131,2,40.42943,-74.41602
730286,8835,512131,1,40.54147,-74.58876
731097,8837,512131,1,40.51432,-74.34477
732489,8844,512131,1,40.49858,-74.67274
738529,8865,512131,1,40.7094,-75.15109
744591,8901,512131,1,40.48426,-74.44275
745376,8902,512131,1,40.44236,-74.48579
745789,8903,512131,1,,
746890,10001,512131,2,40.75064,-73.99728
747893,10002,512131,2,40.71597,-73.98692
748680,10003,512131,6,40.73184,-73.98915
751285,10007,512131,1,40.71387,-74.00792
753687,10011,512131,3,40.74173,-74.00037
754577,10012,512131,1,40.7256,-73.99794
755484,10013,512131,4,40.72001,-74.00472
756351,10014,512131,2,40.73407,-74.00601
757295,10016,512131,2,40.74515,-73.97807
758250,10017,512131,1,40.75235,-73.9726
759307,10018,512131,1,40.75536,-73.99265
760311,10019,512131,2,40.76586,-73.9853
761675,10021,512131,2,40.76963,-73.95899
762624,10022,512131,1,40.75856,-73.96787
763440,10023,512131,3,40.77464,-73.97836
764138,10024,512131,2,40.78534,-73.97138
765868,10027,512131,1,40.81187,-73.95459
766517,10028,512131,4,40.77643,-73.95339
770648,10036,512131,2,40.75976,-73.99064
771251,10037,512131,1,40.81302,-73.93776
782899,10281,512131,1,,
784709,10303,512131,1,40.63223,-74.16903
786394,10306,512131,1,40.57149,-74.1243
787376,10308,512131,1,40.55213,-74.15029
789924,10314,512131,1,40.60086,-74.16306
790695,10451,512131,1,40.82097,-73.92383
796372,10462,512131,1,40.84297,-73.85873
797718,10465,512131,1,40.8286,-73.82179
802548,10475,512131,1,40.87528,-73.82702
804060,10506,512131,1,41.1889,-73.63411
806481,10512,512131,1,41.4483,-73.71054
809165,10523,512131,1,41.06005,-73.81859
811301,10532,512131,1,41.09873,-73.80066
812923,10538,512131,1,40.9376,-73.75707
814366,10543,512131,1,40.95274,-73.73645
815118,10547,512131,1,41.31178,-73.84637
815799,10549,512131,1,41.19981,-73.72028
820009,10570,512131,1,41.12854,-73.78917
820730,10573,512131,2,41.01676,-73.67735
827127,10601,512131,2,41.03288,-73.7648
829997,10607,512131,1,41.03949,-73.81214
831824,10704,512131,1,40.91911,-73.86187
833607,10708,512131,1,40.9379,-73.83167
834589,10710,512131,2,40.96732,-73.84739
835352,10801,512131,1,40.91751,-73.78396
836084,10803,512131,1,40.89978,-73.80619
839244,10918,512131,1,41.34816,-74.25828
843000,10940,512131,2,41.45149,-74.46997
846641,10956,512131,1,41.15562,-73.99314
853192,10990,512132,1,41.2651,-74.3663
854349,10994,512131,2,41.09702,-73.97322
856397,11005,512131,1,40.75661,-73.71424
856758,11010,512131,1,40.70066,-73.67514
857713,11021,512131,1,40.78644,-73.7289
859201,11030,512131,1,40.79293,-73.68868
860035,11040,512131,1,40.74572,-73.67979
861344,11050,512131,1,40.83815,-73.69113
